ratinguser,resort_type,apart_type,ghouse_type,hotels_type,capsule_type,homest_type,camp_type,villas_type,ratingprop,good_label,conve_label,impre_label,superb_label,reviewamount,randomrate,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,cleanaccom,landmarknear,,,
8.9,0,0,0,1,0,0,0,0,8.5,0,0,1,0,2752,1,0,2,0,0,3,0,0,2,1,5,4,1,Sate Building,,,  0.4  3          0.6               0.50       100      0.27040294  0.9820648  0.11196698
10,0,0,0,1,0,0,0,0,9.1,0,0,0,1,292,1,0,1,1,0,1,0,1,1,1,3,2,1,Sate Building,,,  0.4  3          0.6               0.50       150      0.26750382  0.9824701  0.10886479
9.7,0,0,1,0,0,0,0,0,8.3,0,0,1,0,859,1,0,0,0,0,1,0,0,1,0,2,2,1,Sate Building,,,  0.4  3          0.6               0.75        50      0.23693085  0.9850522  0.09688978
8.8,0,0,0,1,0,0,0,0,8.4,0,0,1,0,1361,1,0,0,0,0,0,0,0,0,0,0,0,1,Sate Building,,,  0.4  3          0.6               0.75       100      0.22574291  0.9863922  0.08600104
9.7,0,0,0,1,0,0,0,0,8.4,0,0,1,0,1361,1,0,1,0,0,2,0,0,2,0,2,2,1,Sate Building,,,  0.4  3          0.6               0.75       150      0.22362639  0.9865948  0.08309730
9.7,0,0,1,0,0,0,0,0,8.6,0,0,1,0,1303,1,0,0,0,0,0,0,0,0,0,0,0,1,Sate Building,,,  0.4  3          0.6               1.00        50      0.24940645  0.9848015  0.10036489
8.4,0,0,1,0,0,0,0,0,8.5,0,0,1,0,1496,1,1,0,1,1,0,1,0,0,2,0,-2,1,Sate Building,,,  0.4  3          0.6               1.00       100      0.23466061  0.9863974  0.08721971
8.5,0,0,0,1,0,0,0,0,8.1,0,1,0,0,111,1,0,4,0,1,7,0,4,5,0,9,9,1,Sate Building,,,  0.4  3          0.6               1.00       150      0.23237651  0.9866274  0.08383719
6.1,0,0,0,1,0,0,0,0,8.5,0,0,1,0,4969,1,0,0,0,0,1,0,0,1,0,2,2,1,Sate Building,,,  0.4  3          0.8               0.50        50      0.26060518  0.9821059  0.10613545
9.4,0,0,0,1,0,0,0,0,8.6,0,0,1,0,8989,1,0,0,0,0,0,0,0,0,0,0,0,1,Sate Building,,,  0.4  3          0.8               0.50       100      0.24259758  0.9844075  0.09417326
5.5,0,0,0,1,0,0,0,0,7.5,0,1,0,0,967,1,0,0,0,0,0,0,2,0,0,1,1,1,Sate Building,,,  0.4  3          0.8               0.50       150      0.23945681  0.9849416  0.09142424
6.4,0,0,0,1,0,0,0,0,7.5,0,1,0,0,967,1,0,1,1,0,2,1,0,2,3,4,1,1,Sate Building,,,  0.4  3          0.8               0.75        50      0.20457254  0.9896033  0.08161922
8.5,0,0,0,1,0,0,0,0,8.4,0,0,1,0,4307,1,0,0,0,0,0,0,0,0,0,0,0,1,Geological Museum,,,  0.4  3          0.8               0.75       100      0.19216174  0.9906926  0.07245425
4.8,0,0,0,1,0,0,0,0,8.4,0,0,1,0,4307,1,0,0,0,0,1,0,0,1,1,3,2,1,Geological Museum,,,  0.4  3          0.8               0.75       150      0.18758580  0.9911209  0.06948907
8.5,0,0,0,1,0,0,0,0,8.4,0,0,1,0,4307,1,0,0,0,0,1,0,1,1,0,3,3,1,Geological Museum,,,  0.4  3          0.8               1.00        50      0.16758928  0.9929269  0.06220793
9.7,0,0,0,1,0,0,0,0,8.6,0,0,1,0,1737,1,0,0,0,0,0,0,0,0,0,0,0,1,Geological Museum,,,  0.4  3          0.8               1.00       100      0.15764199  0.9936768  0.05418806
10,0,0,0,1,0,0,0,0,8.6,0,0,1,0,675,1,0,0,0,0,0,0,0,0,0,0,0,1,Geological Museum,,,  0.4  3          0.8               1.00       150      0.15526481  0.9938306  0.05170481
9.1,0,0,0,1,0,0,0,0,8.6,0,0,1,0,675,1,1,0,0,1,0,1,0,0,1,0,-1,1,Geological Museum,,,
9.1,0,0,0,1,0,0,0,0,8.8,0,0,1,0,4208,1,0,0,0,0,0,0,0,0,0,0,0,1,Geological Museum,,,
8.5,0,0,0,1,0,0,0,0,8.8,0,0,1,0,4208,1,0,0,0,0,0,0,0,0,0,0,0,1,Geological Museum,,,
8.5,0,0,1,0,0,0,0,0,8.5,0,0,1,0,144,1,0,0,0,0,0,0,0,0,0,0,0,0,Geological Museum,,,
9.7,0,0,0,1,0,0,0,0,8.3,0,0,1,0,1129,1,1,3,0,0,3,0,1,2,0,6,6,0,Geological Museum,,,
8.5,0,0,0,1,0,0,0,0,8.5,0,0,1,0,5306,1,0,1,0,0,1,0,0,2,1,3,2,0,Geological Museum,,,
9.4,0,0,0,1,0,0,0,0,9.1,0,0,0,1,525,1,1,0,0,0,1,0,0,1,0,2,2,0,Geological Museum,,,
8.5,0,0,0,1,0,0,0,0,9.1,0,0,0,1,2272,1,2,2,3,1,1,2,0,3,4,5,1,0,Geological Museum,,,
9.7,0,0,1,0,0,0,0,0,9.4,0,0,0,1,20,1,0,0,0,0,1,0,0,0,0,1,1,0,Geological Museum,,,
8.5,0,0,1,0,0,0,0,0,9.4,0,0,0,1,20,1,1,0,1,1,0,1,0,0,1,0,-1,0,Geological Museum,,,
6,0,0,0,1,0,0,0,0,7.6,0,1,0,0,866,1,2,0,0,1,0,1,0,0,1,1,0,0,Geological Museum,,,
9.7,0,0,1,0,0,0,0,0,8.5,0,0,1,0,1496,1,0,0,0,0,0,0,0,0,0,0,0,0,Geological Museum,,,
5.5,0,0,1,0,0,0,0,0,8.1,0,1,0,0,72,1,0,0,0,1,0,2,0,0,1,1,0,0,Geological Museum,,,
9.4,0,0,1,0,0,0,0,0,8.1,0,1,0,0,72,1,0,0,0,0,0,0,0,0,0,0,0,0,Geological Museum,,,
9.4,0,0,0,1,0,0,0,0,8.3,0,0,1,0,1583,1,0,0,0,0,0,0,0,0,0,0,0,1,Geological Museum,,,
8.4,0,0,0,1,0,0,0,0,8.2,0,0,1,0,950,1,0,0,0,0,0,0,0,0,0,0,0,1,Geological Museum,,,
9.7,0,0,0,1,0,0,0,0,8.2,0,0,1,0,950,1,1,1,1,1,3,1,0,3,3,3,0,1,Geological Museum,,,
6,0,0,0,1,0,0,0,0,8.2,0,0,1,0,950,1,0,0,0,0,0,0,0,0,0,0,0,1,Geological Museum,,,
9.7,0,0,0,1,0,0,0,0,8.8,0,0,1,0,4235,1,0,0,0,0,0,0,0,0,0,0,0,1,Geological Museum,,,
5.1,0,0,0,1,0,0,0,0,8.2,0,0,1,0,5369,1,0,0,0,0,0,0,0,0,0,0,0,1,Geological Museum,,,
9.4,0,0,0,1,0,0,0,0,8.7,0,0,1,0,260,1,0,0,0,0,0,0,0,0,0,0,0,1,Geological Museum,,,
9.4,0,0,0,1,0,0,0,0,8.7,0,0,1,0,260,1,0,0,0,0,0,0,0,0,0,0,0,1,Geological Museum,,,
9.4,0,0,0,1,0,0,0,0,8.6,0,0,1,0,137,1,0,1,0,0,1,1,1,1,2,2,0,1,Geological Museum,,,
